# Tolbutamide interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (uM)",        2.25,            3.75,            5.25,            7.5,            15,              22.5
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        4.9,             7.2,            10.3,            12.1,            13.7,            18.2
2.0,                       10.9,            13.7,            20.3,            21.0,            32.1,            31.1
3.0,                       15.2,            24.4,            26.3,            31.5,            45.4,            53.4
4.0,                       19.6,            31.9,            37.4,            49.8,            62.1,            71.8
5.0,                       24.3,            41.7,            44.8,            58.3,            73.3,            82.8
7.0,                       38.3,            58.4,            68.7,            76.4,           104.4,           122.2
8.0,                       45.0,            60.7,            67.9,            84.4,           131.1,           143.8
# Experiment 2 - Inhibitor = Tolbutamide
# [Inhibitor] = 2.2 mM
"[warfarin] (uM)",        0.75,            1.5,             3.75,            5.25,            8.25,           11.25
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                       0.95,             1.7,             3.5,             3.9,             5.2,             5.6
2.0,                       1.9,              3.2,             6.5,             8.8,            11.7,            12.1
3.0,                       2.7,              4.9,            10.6,            11.6,            17.7,            18.9
4.0,                       3.8,              7.2,            12.9,            15.7,            19.7,            23.6
5.0,                       4.9,              8.2,            18.7,            22.8,            26.4,            28.8
7.0,                       7.0,             11.6,            26.3,            29.0,            39.6,            44.3
8.0,                       6.8,             14.6,            27.6,            34.1,            43.1,            53.0
