# Fluoxetine interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (uM)",        0.27,            0.45,            0.63,            0.9,             1.8,             2.7
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        5.6,             7.5,            10.2,            11.1,            15.7,            16.6
2.0,                       11.8,            17.2,            19.5,            26.0,            32.2,            37.2
3.0,                       16.4,            22.7,            32.1,            38.0,            48.7,            49.9
4.0,                       23.2,            29.5,            43.3,            52.6,            64.8,            71.1
5.0,                       29.6,            39.7,            45.1,            65.2,            81.3,            93.5
7.0,                       37.5,            51.0,            69.3,            84.8,           117.2,           119.4
8.0,                       44.4,            61.5,            83.0,            87.0,           129.8,           134.7
# Experiment 2 - Inhibitor = Fluoxetine
# [Inhibitor] = 1 mM
"[warfarin] (uM)",        0.09,            0.18,            0.45,            0.63,            0.99,            1.35
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        0.76,            1.4,             2.7,             3.3,             4.4,             4.6
2.0,                        1.3,             2.9,             4.8,             6.8,             8.3,             9.6
3.0,                        2.0,             4.0,             7.3,            10.4,            13.5,            15.3
4.0,                        2.7,             5.8,            11.4,            12.0,            17.7,            19.6
5.0,                        3.8,             7.2,            13.1,            16.8,            20.7,            24.5
7.0,                        5.0,             9.4,            17.3,            25.0,            29.9,            33.5
8.0,                        5.8,            10.1,            19.7,            26.3,            30.2,            40.4
