# Seratrodast interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor          
"[warfarin] (mM)",        0.93,            1.55,            2.17,            3.1,             6.2,             9.3
"time (min)",            "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                        3.6,             4.6,             6.4,             7.2,             9.3,            11.5
2.0,                        6.4,             9.2,            11.0,            15.5,            18.4,            21.8
3.0,                        9.4,            14.8,            17.2,            22.5,            30.9,            29.2
4.0,                       14.3,            18.4,            22.2,            30.6,            38.3,            42.1
5.0,                       18.0,            23.7,            32.1,            38.5,            50.8,            52.4
7.0,                       24.0,            30.7,            44.5,            48.5,            65.4,            82.5
8.0,                       27.2,            38.6,            43.3,            57.5,            75.3,            81.8
# Experiment 2 - Inhibitor = Seratrodast
# [Inhibitor] = 1.1 mM
"[warfarin] (mM)",        0.31,            0.62,            1.55,            2.17,            3.41,            4.65
"time (min)",            "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                        0.65,            1.1,             2.1,             2.7,             3.6,             4.2
2.0,                        1.2,             2.4,             4.6,             6.0,             7.8,             8.0
3.0,                        1.8,             3.5,             6.3,             8.4,            10.6,            12.2
4.0,                        2.4,             5.0,             8.9,            12.0,            15.7,            15.6
5.0,                        3.3,             5.9,            12.2,            13.6,            17.7,            19.6
7.0,                        4.4,             7.4,            16.5,            19.3,            24.5,            26.8
8.0,                        5.2,            10.0,            19.0,            22.0,            26.4,            34.0
