# Torsemide interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (mM)",        0.9,             1.5,             2.1,             3,               6,               9
"time (min)",            "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                        4.0,             5.3,             6.6,             8.3,            11.9,            13.0
2.0,                        7.3,            12.4,            13.6,            18.0,            21.3,            26.6
3.0,                       13.1,            17.0,            23.1,            25.4,            38.2,            38.6
4.0,                       16.2,            23.2,            26.6,            33.6,            47.9,            52.3
5.0,                       20.6,            26.6,            35.6,            43.3,            53.1,            67.0
7.0,                       26.6,            38.1,            45.4,            57.4,            78.7,            97.3
8.0,                       33.2,            50.3,            57.9,            76.2,            98.9,           100.6
# Experiment 2 - Inhibitor = Torsemide
# [Inhibitor] = 1.5 mM
"[warfarin] (mM)",        0.55,            1.1,             2.75,            3.85,            6.05,            8.25
"time (min)",            "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                        1.7,             3.2,             6.1,             6.9,            10.0,            11.5
2.0,                        3.2,             5.5,            11.8,            13.9,            16.6,            22.8
3.0,                        5.1,             8.7,            18.4,            19.5,            30.0,            31.9
4.0,                        6.9,            10.7,            21.6,            26.8,            38.9,            38.1
5.0,                        8.5,            15.0,            29.3,            32.7,            42.1,            52.8
7.0,                       10.5,            21.0,            40.0,            50.9,            69.7,            67.7
8.0,                       12.7,            24.5,            47.0,            56.4,            77.3,            83.6
