# Amitriptyline interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (uM)",     0.15,          0.25,          0.35,          0.5,          1,          1.5
"time (min)",        "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                  3.9,             5.5,             6.6,             7.3,            10.3,             11.4
2.0,                  7.9,            11.0,            12.5,            16.1,            20.1,             22.8
3.0,                 11.4,            14.6,            17.9,            21.8,            29.7,             35.1
4.0,                 14.9,            22.0,            25.0,            32.9,            45.3,             43.8
5.0,                 16.2,            28.5,            29.1,            35.8,            47.2,             60.3
7.0,                 24.7,            39.5,            49.1,            58.9,            79.4,             88.8
8.0,                 27.8,            40.1,            55.5,            58.1,            82.2,             85.7
# Experiment 2 - Inhibitor = Amitriptyline
# [Inhibitor] = 1.0 mM
"[warfarin] (uM)",          0.2,          0.4,          1.1,          1.5,          2.4,          3.3
"time (min)",        "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                  1.5,             2.6,             4.9,             6.2,             8.6,            10.3
2.0,                  2.6,             5.1,            11.0,            12.9,            15.5,            20.4
3.0,                  4.2,             7.8,            15.4,            17.9,            25.3,            28.8
4.0,                  6.2,            10.2,            21.1,            25.0,            31.2,            39.1
5.0,                  6.9,            12.4,            25.0,            30.6,            41.8,            47.8
7.0,                  9.8,            17.1,            33.0,            45.3,            55.2,            59.5
8.0,                 11.0,            20.4,            45.7,            50.8,            66.3,            67.5
