# Phenytoin interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor   
"[warfarin] (uM)",         0.63,           1.05,            1.47,            2.1,             4.2,             6.3
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        2.7,             3.7,             4.5,             5.8,             7.4,             8.5
2.0,                        5.2,             6.6,             8.2,            11.1,            15.3,            15.5
3.0,                        7.1,            11.7,            12.9,            15.1,            21.1,            25.5
4.0,                       10.6,            14.6,            16.9,            23.3,            29.2,            29.9
5.0,                       11.4,            16.5,            23.6,            29.4,            35.9,            39.5
7.0,                       18.1,            25.6,            28.1,            37.3,            49.5,            57.5
8.0,                       20.9,            29.9,            38.5,            43.7,            57.1,            61.5
# Experiment 2 - Inhibitor = Phenytoin
# [Inhibitor] = 1.1 mM
"[warfarin] (uM)",        0.21,            0.42,            1.05,            1.47,            2.31,            3.15
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        0.35,            0.77,            1.4,             1.7,             2.0,             2.3
2.0,                        0.80,            1.5,             2.8,             3.7,             4.1,             4.8
3.0,                        1.2,             2.2,             3.9,             5.0,             6.5,             7.2
4.0,                        1.4,             2.8,             5.2,             7.6,             9.5,             9.9
5.0,                        2.0,             3.4,             6.5,             9.4,            10.3,            11.6
7.0,                        2.9,             4.5,            10.1,            11.4,            16.8,            18.3
8.0,                        2.8,             5.8,            11.7,            14.1,            17.4,            19.6
