# Mefenamic acid interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (mM)",     0.24,            0.4,              0.56,            0.8,            1.6,            2.4
"time (min)",        "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                     3.5,             5.0,              6.6,             7.3,           11.0,           10.5
2.0,                     6.8,            10.7,             11.7,            15.6,           20.3,           22.7
3.0,                    11.0,            15.1,             19.7,            22.9,           29.5,           34.3
4.0,                    12.6,            18.0,             26.8,            30.6,           39.6,           49.1
5.0,                    18.7,            25.8,             31.7,            39.4,           53.3,           53.3
7.0,                    25.5,            37.4,             40.1,            50.2,           73.5,           73.1
8.0,                    25.3,            40.4,             44.8,            59.5,           80.1,           83.1
# Experiment 2 - Inhibitor = Mefenamic acid
# [Inhibitor] = 1.2 uM (micromolar)
"[warfarin] (mM)",     0.1,             0.2,              0.4,             0.6,            0.9,             1.2
"time (min)",        "[product /uM]", "[product /uM]", "[product /uM]"  "[product /uM]", "[product /uM]", "[product /uM]"
1.0,                     0.5,             0.8,              1.7,             2.1,            2.8,             2.9
2.0,                     0.8,             1.7,              3.4,             3.8,            5.4,             5.6
3.0,                     1.3,             2.6,              4.7,             6.7,            8.4,             9.8
4.0,                     1.6,             3.1,              7.2,             8.0,            9.9,            12.9
5.0,                     2.3,             4.1,              8.8,             9.4,           14.2,            13.9
7.0,                     3.1,             6.4,             12.0,            15.7,           16.5,            22.6
8.0,                     3.9,             7.0,             12.4,            17.9,           22.6,            22.7
