# Tenoxicam interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor          
"[warfarin] (uM)",        2.7,             4.5,             6.3,             9,              18,              27
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        5.1,             8.8,            11.0,            13.1,            15.8,            20.3
2.0,                       10.7,            17.8,            21.0,            23.8,            32.3,            40.2
3.0,                       15.9,            24.8,            31.6,            38.7,            53.2,            55.3
4.0,                       24.2,            35.4,            39.0,            48.1,            61.0,            70.7
5.0,                       26.1,            40.3,            46.5,            58.0,            76.6,            88.7
7.0,                       41.5,            58.6,            67.9,            86.3,           107.4,           133.2
8.0,                       42.4,            66.5,            78.7,           102.2,           125.7,           149.2
# Experiment 2 - Inhibitor = Tenoxicam
# [Inhibitor] = 2 mM
"[warfarin] (uM)",        0.9,             1.8,             4.5,             6.3,             9.9,            13.5
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        1.0,             2.1,             4.3,             5.0,             6.0,             7.1
2.0,                        2.3,             4.0,             7.6,             9.6,            13.8,            15.5
3.0,                        3.3,             6.1,            11.6,            15.7,            20.7,            22.3
4.0,                        4.2,             8.5,            16.5,            20.6,            23.4,            27.5
5.0,                        5.6,            10.5,            22.5,            26.8,            32.7,            37.3
7.0,                        7.4,            13.6,            26.1,            37.5,            49.5,            47.4
8.0,                        9.5,            16.4,            31.4,            41.8,            54.9,            54.4
